 (-4.249999999999999628e-05+0.000000000000000000e+00j), (-5.645900136985682138e+01+1.997873440653318866e+01j), (-1.440861602803010382e-08+1.614954911793452229e-08j)
 (-4.247999529301011573e-05+0.000000000000000000e+00j), (-5.753695849383282734e+01+-8.979446905708989846e+00j), (9.765456781296685465e-09+-1.643449848824490509e-08j)
 (-4.245999058602023519e-05+0.000000000000000000e+00j), (-5.958532398093373672e+01+1.715891612838499825e+01j), (-5.933961652334788994e-09+1.388603964624798944e-08j)
 (-4.243998587903035464e-05+0.000000000000000000e+00j), (-6.269921161304600332e+01+-9.848012342550909182e+00j), (4.457423739001829794e-09+-9.563525616148926126e-09j)
 (-4.241998117204047409e-05+0.000000000000000000e+00j), (-6.516726653399211955e+01+2.099220229835077234e+01j), (-5.940901736278417153e-09+5.270023471911373598e-09j)
 (-4.239997646505059355e-05+0.000000000000000000e+00j), (-6.304136209688908821e+01+-2.447273502111211307e+00j), (9.741356941997404575e-09+-2.828661285806700310e-09j)
 (-4.237997175806071978e-05+0.000000000000000000e+00j), (-5.989380828342660834e+01+2.533168455720925394e+01j), (-1.420319976494873343e-08+3.266111200608779676e-09j)
 (-4.235996705107083923e-05+0.000000000000000000e+00j), (-5.781073356875998570e+01+-3.024449090840338972e+00j), (1.740671960609375181e-08+-6.335303857756435607e-09j)
 (-4.233996234408095869e-05+0.000000000000000000e+00j), (-5.673707393184366765e+01+2.265793878102292425e+01j), (-1.804434961345905070e-08+1.066609514259817355e-08j)
 (-4.231995763709107814e-05+0.000000000000000000e+00j), (-5.651232739915357683e+01+-6.382386446822766679e+00j), (1.594771989247434717e-08+-1.443502596808741654e-08j)
 (-4.229995293010119760e-05+0.000000000000000000e+00j), (-5.707884709510364019e+01+1.922086805948494970e+01j), (-1.205480369988981925e-08+1.614915106597748377e-08j)
 (-4.227994822311131705e-05+0.000000000000000000e+00j), (-5.848446080888717802e+01+-9.443867014071299693e+00j), (7.956185068029427650e-09+-1.518295778571771176e-08j)
 (-4.225994351612143650e-05+0.000000000000000000e+00j), (-6.084082858355907319e+01+1.726751246591941680e+01j), (-5.285184692055328909e-09+1.195205394767319379e-08j)
 (-4.223993880913155596e-05+0.000000000000000000e+00j), (-6.379448044671855200e+01+-8.560997666975433518e+00j), (5.130902265922978666e-09+-7.758051070440393558e-09j)
 (-4.221993410214167541e-05+0.000000000000000000e+00j), (-6.432990238708350716e+01+2.279095657297056832e+01j), (-7.595613702321560078e-09+4.334232923020702725e-09j)
 (-4.219992939515179487e-05+0.000000000000000000e+00j), (-6.151352777672386196e+01+-2.286201440924015671e+00j), (1.167532733063045550e-08+-3.156707433813702853e-09j)
 (-4.217992468816191432e-05+0.000000000000000000e+00j), (-5.890138073429938004e+01+2.472378096053907726e+01j), (-1.562733888369731774e-08+4.765936698054784667e-09j)
 (-4.215991998117203378e-05+0.000000000000000000e+00j), (-5.729162188217134144e+01+-3.863416958969903892e+00j), (1.774401207552485609e-08+-8.476210984652449910e-09j)
