 (-4.249999999999999628e-05+0.000000000000000000e+00j), (-2.499411764705810696e+07+0.000000000000000000e+00j), (-1.227437528467555453e-02-1.272325664863222482e-02j)
 (-4.247999529301011573e-05+0.000000000000000000e+00j), (-2.498235570934184641e+07+0.000000000000000000e+00j), (-1.227465510282662459e-02-1.154756824365364351e-02j)
 (-4.245999058602023519e-05+0.000000000000000000e+00j), (-2.497059377162558213e+07+0.000000000000000000e+00j), (-1.219363115460165604e-02-1.046107392698018834e-02j)
 (-4.243998587903035464e-05+0.000000000000000000e+00j), (-2.495883183390931785e+07+0.000000000000000000e+00j), (-1.204671367406520179e-02-9.462088039158485925e-03j)
 (-4.241998117204047409e-05+0.000000000000000000e+00j), (-2.494706989619305730e+07+0.000000000000000000e+00j), (-1.184740514148807829e-02-8.547616251099742629e-03j)
 (-4.239997646505059355e-05+0.000000000000000000e+00j), (-2.493530795847679302e+07+0.000000000000000000e+00j), (-1.160740322159181485e-02-7.713727717014003810e-03j)
 (-4.237997175806071978e-05+0.000000000000000000e+00j), (-2.492354602076053247e+07+0.000000000000000000e+00j), (-1.133673246314852862e-02-6.955862934997002721e-03j)
 (-4.235996705107083923e-05+0.000000000000000000e+00j), (-2.491178408304426819e+07+0.000000000000000000e+00j), (-1.104389242083806365e-02-6.269083550338378115e-03j)
 (-4.233996234408095869e-05+0.000000000000000000e+00j), (-2.490002214532800764e+07+0.000000000000000000e+00j), (-1.073601268456475175e-02-5.648270930691322994e-03j)
 (-4.231995763709107814e-05+0.000000000000000000e+00j), (-2.488826020761174336e+07+0.000000000000000000e+00j), (-1.041900772329733792e-02-5.088280445672431831e-03j)
 (-4.229995293010119760e-05+0.000000000000000000e+00j), (-2.487649826989548281e+07+0.000000000000000000e+00j), (-1.009772646309819305e-02-4.584058147199595624e-03j)
 (-4.227994822311131705e-05+0.000000000000000000e+00j), (-2.486473633217921853e+07+0.000000000000000000e+00j), (-9.776093158618182413e-03-4.130726087264546646e-03j)
 (-4.225994351612143650e-05+0.000000000000000000e+00j), (-2.485297439446295425e+07+0.000000000000000000e+00j), (-9.457237413692863234e-03-3.723641916399341584e-03j)
 (-4.223993880913155596e-05+0.000000000000000000e+00j), (-2.484121245674669370e+07+0.000000000000000000e+00j), (-9.143612210458231318e-03-3.358437753964076209e-03j)
