 (-4.249999999999999628e-05+0.000000000000000000e+00j), (0.000000000000000000e+00+0.000000000000000000e+00j)
 (-4.247999529301011573e-05+0.000000000000000000e+00j), (-9.508735562888923631e-01-3.095795212066113078e-01j)
 (-4.245999058602023519e-05+0.000000000000000000e+00j), (5.889810511234968571e-01-8.081468439692509609e-01j)
 (-4.243998587903035464e-05+0.000000000000000000e+00j), (5.856295258100290280e-01+8.105788416307944111e-01j)
 (-4.241998117204047409e-05+0.000000000000000000e+00j), (-9.523280103472749891e-01+3.050759916938738381e-01j)
 (-4.239997646505059355e-05+0.000000000000000000e+00j), (5.915813478600893960e-03-9.999825014223431285e-01j)
 (-4.237997175806071978e-05+0.000000000000000000e+00j), (9.485582558071301573e-01+3.166026458198589189e-01j)
 (-4.235996705107083923e-05+0.000000000000000000e+00j), (-5.961292882324215059e-01+8.028884553357997778e-01j)
 (-4.233996234408095869e-05+0.000000000000000000e+00j), (-5.772062655380820750e-01-8.165983878404249330e-01j)
 (-4.231995763709107814e-05+0.000000000000000000e+00j), (9.558709889199626941e-01-2.937867467078330574e-01j)
 (-4.229995293010119760e-05+0.000000000000000000e+00j), (-1.922597385264226966e-02+9.998151638825135690e-01j)
 (-4.227994822311131705e-05+0.000000000000000000e+00j), (-9.437719962830402043e-01-3.305970644635627953e-01j)
 (-4.225994351612143650e-05+0.000000000000000000e+00j), (6.091124071728939438e-01-7.930839018843105492e-01j)
 (-4.223993880913155596e-05+0.000000000000000000e+00j), (5.626226469246521367e-01+8.267138302747197853e-01j)
 (-4.221993410214167541e-05+0.000000000000000000e+00j), (-9.613427894929817974e-01+2.753543918114479960e-01j)
 (-4.219992939515179487e-05+0.000000000000000000e+00j), (3.992331847053652571e-02-9.992027465145900678e-01j)
 (-4.217992468816191432e-05+0.000000000000000000e+00j), (9.362057572237332259e-01+3.514523867341582397e-01j)
 (-4.215991998117203378e-05+0.000000000000000000e+00j), (-6.277083999556792859e-01+7.784485626071134812e-01j)
 (-4.213991527418216001e-05+0.000000000000000000e+00j), (-5.416600606562503861e-01-8.405976318607298881e-01j)
 (-4.211991056719227946e-05+0.000000000000000000e+00j), (9.683320470898728605e-01-2.496658698715870095e-01j)
 (-4.209990586020239891e-05+0.000000000000000000e+00j), (-6.798369022739096657e-02+9.976864326345558087e-01j)
 (-4.207990115321251837e-05+0.000000000000000000e+00j), (-9.254012591681749500e-01-3.789887986866580238e-01j)
 (-4.205989644622263782e-05+0.000000000000000000e+00j), (6.515806857008178410e-01-7.585793366693110995e-01j)
 (-4.203989173923275728e-05+0.000000000000000000e+00j), (5.140255147673236102e-01+8.577748948110966998e-01j)
 (-4.201988703224287673e-05+0.000000000000000000e+00j), (-9.762634391582789561e-01+2.165864662504318472e-01j)
 (-4.199988232525299619e-05+0.000000000000000000e+00j), (1.033489965036129277e-01-9.946451552798596385e-01j)
 (-4.197987761826311564e-05+0.000000000000000000e+00j), (9.107580923346711987e-01+4.129403071230884348e-01j)
 (-4.195987291127323509e-05+0.000000000000000000e+00j), (-6.802635970745638527e-01+7.329675562364104113e-01j)
 (-4.193986820428335455e-05+0.000000000000000000e+00j), (-4.793695695454626149e-01-8.776131356091919633e-01j)
